Segment_ID,Altitude,Step_length,Turning_angle,Hierarchical_Slope_Position
1,1974.090909,1571.279176,0.53151882,0.21476916
1,1715.4375,1553.240145,-0.017830375,0.18656012
1,1454.741935,1415.713053,-0.09628685,0.306172644
1,1303.5625,1381.020949,0.075558661,0.436053644
1,1129.290323,821.5911508,-0.091208207,0.480762956
1,1106.266667,813.8855381,0.954300818,0.574650343
1,1129,229.2873221,0.952486206,0.408074241
1,1233.75,125.3628027,2.607215077,0.408074241
1,1440.421053,454.5238777,1.514178736,0.408074241
1,1507.112628,758.7108145,0.141150033,0.539945427
1,1472.300341,758.6896544,-1.11E-11,0.539945427
1,1437.488055,758.6684929,9.74E-12,0.437723115
1,1402.675768,758.6473301,-8.40E-12,0.40439938
1,1367.863481,1107.463559,0.272109139,0.40439938
1,1267.733333,1047.46023,-0.076856269,0.377592208
1,1177.378378,797.9536445,0.215729992,0.413307398
1,1163.285714,350.2101865,1.148111411,0.359622607
1,1382.522727,165.2822079,2.710697841,0.415738503
1,1658.03125,129.8544719,-0.984465753,0.359622607
1,1961.9375,127.5826385,1.757727275,0.381216123
1,2202.645161,11.56855992,-0.603486744,0.359622607
1,2517.709677,820.9860689,2.086483789,0.359622607
1,2517.853659,1538.013742,-0.151802944,0.415738503
1,2336.354839,1591.81654,-0.024820263,0.341390126
1,2120.6,1612.792291,-0.008059206,0.302761414
1,1932.714286,1526.56825,0.045078144,0.335096478
1,1791.852941,1528.972715,-0.178107708,0.324712127
1,1618.153846,1276.839607,0.550981483,0.330937049
1,1425.878788,708.3540424,-0.523999281,0.349188698
1,1416.095238,1048.928254,0.55856736,0.327647776
1,1332,601.0479238,-0.717088277,0.344347496
1,1284.186047,1029.720624,-0.139128541,0.344347496
1,1207.75,1216.493153,-0.342488437,0.31477504
1,1130.142857,816.1439409,-0.221026239,0.477961766
1,1080.30303,258.6673907,-0.412857111,0.44162839
1,1182.681159,288.314528,0.434617149,0.314982095
1,1285.486486,236.3202018,-0.256563566,0.314982095
1,1358.333333,667.5182628,0.501553666,0.314982095
1,1369.490566,1190.285729,0.011356681,0.302095539
1,1276.771429,645.0537411,0.617527342,0.269624981
1,1344.052632,15.48032472,-2.197205613,0.346119342
1,1573.457143,129.6173258,1.804430992,0.346119342
1,1672.15625,454.0085448,-1.25667584,0.291313012
1,1794.941176,195.6790739,3.095148123,0.282384254
1,1922.612903,212.5681712,-1.792746736,0.291313012
1,2080.548387,886.9969074,0.006057601,0.291313012
2,1536.796875,216.6876162,-0.625585004,0.457329118
2,1750.113636,236.7685608,0.193701582,0.345567978
2,1969.4,155.77773,-0.331640461,0.345567978
2,2186.333333,388.4444919,1.042241706,0.345567978
2,2300.403226,1486.313267,0.523219912,0.300654098
2,2146.612903,1440.10018,0.219129535,0.294433318
2,1896.935484,1319.524258,-0.059857029,0.406333605
2,1794.789474,501.0247354,-0.107460588,0.359889632
2,1867.2,1001.125785,-0.035165087,0.417227767
2,1791.569231,1236.536917,0.007388803,0.417035293
2,1666.030769,1288.478721,0.006889476,0.542952823
2,1437.052632,1249.624673,-0.107055047,0.301796276
2,1356.333333,1447.40561,-0.268551944,0.260309054
2,1167.176471,1305.300146,-0.129948472,0.263014632
2,1027.129032,838.0988178,-0.145159512,0.343956133
2,1039.571429,256.0588343,-0.261670161,0.494443355
2,1239.510638,169.8305002,-0.229527571,0.371549519
2,1476.322581,46.41693343,0.69952851,0.371549519
2,1764.783784,133.5685755,-0.240383193,0.371549519
